Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
399;3522 107 2023 08 015 1;3522;15/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Sugihwaras Ds. Bulu;BOJONEGORO;JAWA TIMUR;Dokumentasi;Pada hari Selasa, 15 Agustus 2023 sekitar pukul 10.00 WIB,  korban izin kepada istrinya untuk membersihkan lahan pertaniannya, pukul 16.00 WIB korban tidak kunjung pulang, selanjutnya istri korban meminta tolong kepada saksi Haryoto (46th) dan Kasmijan (50th) untuk mencari  korban, pada pukul 18.10 WIB korban ditemukan oleh saksi Haryoto (46th) dan Kasmijan (50th) dalam keadaan meninggal dalam posisi terlentang. Di duga korban panik saat membakar lahan yang merembet ke lahan milik Bapak H. A. Zaini yang berjarak -+. 50 meter dan berusaha memadamkan apinya. Untuk kondisi korban fisiknya tidak memungkinkan untuk berlari dikarenakan korban berjalan menggunakan tongkat, akhirnya korban terperangkap kepulan asap dan korban ikut terbakar sehingga korban meninggal dunia;1;;;0;;0
400;3207 106 2023 08 014 1;3207;14/08/23;KEKERINGAN;Kec. Kawali Ds. Purwasari Kec. Baregbeg Ds. Saguling Kec. Panawangan Ds. Karangpaningal  Kec. Lumbung Ds. Awiluar Kec. Cimaragas Ds.  Raksabaya Ds. Beber Kec. Cisaga  Ds. Tanjung Jaya Ds. Wangunjaya Kec.  Banjaranyar Ds. Cikaso Ds. Cigayam Kel. Banjaranyar Kec. Cijeungjing Ds. Karangkamulyan Ds. Utama Kec. Cidolog Ds. Ciparay Kec. Cihaurbeuti Ds. Cijulang Ds. Sumberjaya Ds. Sukasetia Ds. Sukamulya Kec. Pamarican Ds. Pasirnagara Ds. Kertahayu Ds. Margajaya Kec. Banjarsari Ds. Kawasen Kec. Cipaku Ds. Muktisari Ds. Pusakasari Kec. Rancah Ds. Patakaharja Ds. Kawasen;CIAMIS;JAWA BARAT;Dokumentasi;Tidak Hujan Beberapa Hari;;;;0;;0
401;1306 105 2023 08 014 1;1306;14/08/23;PUTING BELIUNG;Kec. Batang Gasan Ds.  Gasan Gadang Ds. Malai V Suku Kec. V Koto Kampung Dalam Ds. Campago;PADANG PARIAMAN;SUMATERA BARAT;Dokumentasi;angin yang sangat kencang disertai hujan sehingga mengakibatkan pohon tumbang;;;;0;;0
402;1278 101 2023 08 014 1;1278;14/08/23;BANJIR;Kec. Gunungsitoli Idanoi  Ds. Tetehosi I;KOTA GUNUNG SITOLI;SUMATERA UTARA;Dokumentasi;hujan dengan intensitas tinggi serta angin kencang;;;;0;20;0
403;3520 107 2023 08 014 1;3520;14/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bendo  Ds. Bulukledek;MAGETAN;JAWA TIMUR;Dokumentasi;dikarenakan angin yang cukup kencang api mudah merembet dan membakar lahan seluas 2 hektar;;;;0;;0
404;1302 101 2023 08 014 1;1302;14/08/23;BANJIR;Kec. Silaut  Nagari Sanbungo Nagari Air Hitam Nagari Sungai Seri  Nagari Sungai Pulai Nagari Silaut Nagari Lubuk Bunta Nagari Pasir Binjai Nagari Sungai Sirah Nagari Durian Seribu Nagari Talang Binjai;PESISIR SELATAN;SUMATERA BARAT;Dokumentasi;Curah Hujan yg cukup  deras dari tadi siang;;;;0;713;0
405;3522 107 2023 08 014 1;3522;14/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Margomulyo  Ds.  Meduri;BOJONEGORO;JAWA TIMUR;Dokumentasi;Dalam Penyelidikan;;;;0;;0
406;3201 106 2023 08 014 1;3201;14/08/23;KEKERINGAN;Kec. Citeureup  Ds. Sukahati   Kec. Babakan Madang  Ds. Cijayanti  Kec. Jonggol Ds. Sukasirna;BOGOR;JAWA BARAT;Dokumentasi;Dikarenakan intensitas hujan yang menurun di wilayah tersebut sehingga mengakibatkan debit air sumur warga mengering dan warga kesulitan memenuhi kebutuhan air bersih setiap harinya.;;;;0;;0
407;3209 106 2023 08 014 1;3209;14/08/23;KEKERINGAN;Kec. Gegesik  Ds. Sibubut Kec. Sedong Ds. Winduhaji;CIREBON;JAWA BARAT;Dokumentasi;Disebabkan oleh faktor cuaca musim kemarau, sehingga menyebabkan sumur rumah milik warga mengalami kekeringan sehingga warga kesulitan mendapatkan kebutuhan air bersih untuk kegiatan sehari-hari dan tidak adanya mata air di wilayah tersebut karena faktor geografis.;;;;0;;0
408;1906 107 2023 08 014 1;1906;14/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Damar Ds.  Pantai Tamba Ds. Sukamandi Ds. Giosite Garumedang Kec. Manggar Ds. Kurnia Jaya;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
409;3201 105 2023 08 014 1;3201;14/08/23;PUTING BELIUNG;Kec. Tanjungsari Ds.  Cibadak;BOGOR;JAWA BARAT;Dokumentasi;Dikarenakan konstruksi bangunan yang sudah lapuk dan menua mengakibatkan 1 unit rumah ambruk di bagian atap dan dinding kamar mandi.;;;;1;;0
410;3308 107 2023 08 013 1;3308;13/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Salaman  Ds.  Kalikasak;MAGELANG;JAWA TENGAH;Dokumentasi;belum diketahui;;;;0;;0
411;1212 101 2023 08 013 1;1212;13/08/23;BANJIR;Kec.  Hamparan perak Ds.  Paluh Manan;DELI SERDANG;SUMATERA UTARA;Dokumentasi;hujan deras dengan durasi lama .;;;;0;8;0
412;2101 107 2023 08 013 1;2101;13/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Meral Barat   Kel. Batu IX;KARIMUN;KEPULAUAN RIAU;Dokumentasi;belum diketahhui;;;;0;;0
413;3314 107 2023 08 013 1;3314;13/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Karang Malang  Kel. Kroyo;SRAGEN;JAWA TENGAH;Dokumentasi;belum di ketahui;;;;0;;0
414;1302 101 2023 08 013 1;1302;13/08/23;BANJIR;Kec. XI Koto Tarusan Nagari Duku Utara Kec.  Bayang Nagari Kapujan Nagari Lubuk Begalung Nagari Kape Panji Nagari Kubang Nagari Koto Merapak Nagari Kopelgam Kec XI Koto Tarusan Nagari Duku  Kec. Sutera Nagari Amping Parak Timur;PESISIR SELATAN;SUMATERA BARAT;Dokumentasi;hujan dengan intensitas tinggi;;;;2;500;0
415;9111 107 2023 08 012 1;9111;12/08/23;KEBAKARAN HUTAN DAN LAHAN;Kab. Teluk Wondama  Kab. Fakfak;MANOKWARI SELATAN;PAPUA BARAT;Dokumentasi;Masih dalam proses Penyelidikan;;;;0;;0
416;1301 101 2023 08 012 1;1301;12/08/23;BANJIR;Kec. Siberut Selatan  Ds.  Peigu Ds. Batsudut Ds. Teitel Ds. Puro Ds. Muntei;KEPULAUAN MENTAWAI;SUMATERA BARAT;Dokumentasi;hujan dengan intensitas deras yang mengakibatkan banjir dan tanah longsor;;;;0;100;0
417;3272 106 2023 08 011 1;3272;11/08/23;KEKERINGAN;Kec. Warudoyong Kel. Dayeuhluhur Kel. Benteng Kel. Sukakarya Kec. Cibeureum Kel. Cibeureum Hilir Kel. Babakan Kec. Gunungpuyuh Kel. Gunung Puyuh Kec. Lembursitu Kel. Cikundul Kel. Situmekar Kel. Lembursitu Kec. Baros Kel.  Sudajaya Hilir Kel. Baros Kel. Jayamekar Kec. Cikole Kel. Subangjaya Kel. Cisarua;KOTA SUKABUMI;JAWA BARAT;Dokumentasi;Dipicu oleh kemarau yang panjang;;;;0;;0
418;3516 107 2023 08 011 1;3516;11/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Trawas  Ds. Seloliman;MOJOKERTO;JAWA TIMUR;Dokumentasi;dalam penyelidikan;;;;0;;0
419;1103 101 2023 08 011 1;1103;11/08/23;BANJIR;Kec. Pasie Raja  Ds. Pulo Le Dua;ACEH SELATAN;ACEH;Dokumentasi;Akibat hujan dengan Intensitas Sedang s/d Lebat yang mengguyur wilayah Kabupaten Aceh Selatan di Kecamatan Pasie Raja, sehingga mengakibatkan Banjir luapan air sungai dimana Sungai yang sudah mulai dangkal dan meluap ke pemukiman warga setempat dan memasuki ke rumah-rumah warga Gampong Pulo Ie Dua di Kecamatan Pasie Raja, dengan ketinggian air 20 s/d 60 cm.;;;;0;7;0
420;1902 107 2023 08 011 1;1902;11/08/23;KEBAKARAN HUTAN DAN LAHAN;;BELITUNG;KEPULAUAN BANGKA BELITUNG;Dokumentasi;dalam penyelidikan;;;;0;;0
421;3316 106 2023 08 011 1;3316;11/08/23;KEKERINGAN;Kec. Jepon  Ds. Jomblang Ds. Kawengan Ds. Gersi, Kec. Jati  Ds.  Singget Ds. Gabusan  Ds. Pengkoljagong Ds. Tobo Ds. Jatirejo  Ds. Bangsri Ds. Ds. Bacem  Kec. Jiken  Ds. Bleboh Ds. Janjang;BLORA;JAWA TENGAH;Dokumentasi;kemarau yang berkepanjangan;;;;0;;0
422;3201 106 2023 08 011 1;3201;11/08/23;KEKERINGAN;Kec. Citeureup  Ds.Tajur;BOGOR;JAWA BARAT;Dokumentasi;Dikarenakan intensitas hujan yang menurun di wilayah tersebut sehingga mengakibatkan debit air sumur warga mengering dan warga kesulitan memenuhi kebutuhan air bersih setiap harinya.;;;;0;;0
423;3314 107 2023 08 011 1;3314;11/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Karang Malang  Ds.Kedung Waduk;SRAGEN;JAWA TENGAH;Dokumentasi;Puntung rokok;;;;0;;0
424;1902 107 2023 08 010 1;1902;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. tanjung pandan  Ds. Pilang;BELITUNG;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Pemilik lahan pembakaran sampah;;;;0;;0
425;6409 107 2023 08 010 1;6409;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Penajam Ds. Sesumpu Ds Nenang;PENAJAM PASER UTARA;KALIMANTAN TIMUR;Dokumentasi;Masih dalam penyelidikan pihak Kepolisian.;;;;0;;0
426;1602 107 2023 08 010 1;1602;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Jejawi  Ds. Simpang Empat;OGAN KOMERING ILIR;SUMATERA SELATAN;Dokumentasi;Belum diketahui pasti penyebab kebakaran tersebut dan masih dalam penyelidikan pihak Perhutani setempat;;;;0;;0
427;6372 107 2023 08 010 1;6372;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. landasan ulin Kel. Guntung payung Kel. Guntung manggis Kec. Banjarbaru selatan Kel. Kemuning;KOTA BANJARBARU;KALIMANTAN SELATAN;Dokumentasi;Belum diketahui pasti penyebab kebakaran tersebut dan masih dalam penyelidikan pihak Perhutani setempat;;;;0;;0
428;1507 107 2023 08 010 1;1507;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Betara Desa Lubuk Terentang;TANJUNG JABUNG BARAT;JAMBI;Dokumentasi;Masih dalam proses Penyelidikan;;;;0;;0
429;6305 107 2023 08 010 1;6305;10/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Binuang Ds. Pulau Pinang Utara;TAPIN;KALIMANTAN SELATAN;Dokumentasi;Masih Dalam Penyelidikan;;;;0;;0
430;3501 105 2023 08 09 1;3501;09/08/23;PUTING BELIUNG;Kec. Ngadirojo Ds. Cokrokembang;PACITAN;JAWA TIMUR;Dokumentasi;Dipicu angin kencang disertai rapuhnya akar pohon kelapa membuat pohon kelapa jatuh dan menimpa 1 unit rumah pada hari Rabu, 09 Agustus 2023, Pkl. 14:00 WIB;;;;1;;0
431;1607 107 2023 08 09 1;1607;09/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Rambutan Ds. Siju;BANYUASIN;SUMATERA SELATAN;Dokumentasi;penyebab Kebakaran Belum diketahui;;;;0;;0
432;3208 107 2023 08 09 1;3208;09/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec.  Pasawahan Ds. Padabengha;KUNINGAN;JAWA BARAT;Dokumentasi;Belum diketahui pasti penyebab kebakaran tersebut dan masih dalam penyelidikan pihak Perhutani setempat;;;;0;;0
433;6409 107 2023 08 09 1;6409;09/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Penajam Ds. Sotek;PENAJAM PASER UTARA;KALIMANTAN TIMUR;Dokumentasi;Hasil Kegiatan Ground Check Hotspot Manggala Agni Daops Kalimantan XII/Paser;;;;0;;0
434;1906 107 2023 08 09 1;1906;09/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Damar  Ds.Burung Mandi;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;dalam penyelidikan;;;;0;;0
435;3201 105 2023 08 09 1;3201;09/08/23;PUTING BELIUNG;Kec. Ciomas  Kel. Pagelaran;BOGOR;JAWA BARAT;Dokumentasi;Disebabkan hujan disertai angin Dengan intensitas cukup lama di wilayah Ciomas tepat nya di Desa pagelaran  yang berakibat beberapa rumah terdampak angin serta hujan deras  dan terancam Longsor dan beberapa  rumah mengalami kerusakan;;;;9;;0
436;1104 101 2023 08 09 1;1104;09/08/23;BANJIR;ec. Darul Hasanah Ds. Terutung Kute Ds. Pulo Piku Ds. Pulo Gadung Ds. Kute Ujung Ds. Lawe Setul Ds. Kute Rambe Ds. Tite Meranggun;ACEH TENGGARA;ACEH;Dokumentasi;Dipicu hujan dengan intensitas tinggi disertai jebolnya tanggul / luapan sungai Lawe Nimber sehingga terjadi banjir pada hari Rabu, 09 Agustus 2023, pkl. 20:31 WIB;;;;0;55;0
437;6305 107 2023 08 08 1;6305;08/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Binuang Kel. Binuang Ds. Lawahan;TAPIN;KALIMANTAN SELATAN;Dokumentasi;Masih dalam proses Penyelidikan;;;;0;;0
438;3314 107 2023 08 08 1;3314;08/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Miri Ds. Jeruk,;SRAGEN;JAWA TENGAH;Dokumentasi;Belum diketahui;;;;0;;0
439;3202 102 2023 08 08 1;3202;08/08/23;TANAH LONGSOR;Kec. kadudampit  Ds. Sukamaju;SUKABUMI;JAWA BARAT;Dokumentasi;Dipicu hujan dengan intensitas tinggi;;;;1;;0
440;1308 105 2023 08 08 1;1308;08/08/23;PUTING BELIUNG;Kec. Suliki  Nagari Andiang;LIMA PULUH KOTA;SUMATERA BARAT;Dokumentasi;Dipicu hujan disertai angin kencang;;;;11;;0
441;3512 107 2023 08 08 1;3512;08/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bungatan Ds. Pasir Putih;SITUBONDO;JAWA TIMUR;Dokumentasi;Belum diketahui pasti penyebab kebakaran tersebut dan masih dalam penyelidikan pihak Perhutani setempat;;;;0;;0
442;3213 106 2023 08 08 1;3213;08/08/23;KEKERINGAN;Kec. Pusakajaya Kel Karanganyar Kel Kebondanas Kec. Legonkulon Kel Bobos Kel Pangarengan Kec. Blanakan Kel Rawameneng  Kel Rawamekar  Kel Tanjungtiga;SUBANG;JAWA BARAT;Dokumentasi;Dipicu kemarau panjang;;;;0;;0
443;6306 107 2023 08 08 1;6306;08/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Daha Utara  Kec. Daha Barat  Kec. Kalumpang  Kec. Simpur  Kec. Padang Batung;HULU SUNGAI SELATAN;KALIMANTAN SELATAN;Dokumentasi;Masih Dalam Penyelidikan;;;;0;;0
444;6301 107 2023 08 08 1;6301;08/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bati-Bati Ds. Pandahan Kec. Takisung  Ds Takisung;TANAH LAUT;KALIMANTAN SELATAN;Dokumentasi;Masih Dalam Penyelidikan;;;;0;;0
445;3201 105 2023 08 07 1;3201;07/08/23;PUTING BELIUNG;Kec. Rumpin Ds. Cidokom;BOGOR;JAWA BARAT;Dokumentasi;Dipicu angin yang cukup kencang pada hari Senin, 07 Agustus 2023, pkl. 09:30 WIB mengakibatkan 1 unit rumah yang kondisinya memang sudah rapuh & termakan usia mengalami kerusakan parah;;;;1;;0
446;3314 107 2023 08 07 1;3314;07/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Kalijambe Ds. Sambirembe;SRAGEN;JAWA TENGAH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
447;3515 107 2023 08 07 1;3515;07/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Sidoarjo Ds. Lebo;SIDOARJO;JAWA TIMUR;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
448;1302 105 2023 08 07 1;1302;07/08/23;PUTING BELIUNG;Kec. Air Pura Nagari Pulau Rajo;PESISIR SELATAN;SUMATERA BARAT;Dokumentasi;Dipicu hujan disertai angin kencang yang terjadi di wilayah Kab. pesisir selatan;;;;0;;2
449;8202 101 2023 08 07 1;8202;07/08/23;BANJIR;Kec. Weda Timur Ds. Mesa Ds. Kotalo Ds. Yeke Kec. Weda Utara Ds. Wale;HALMAHERA TENGAH;MALUKU UTARA;Dokumentasi;Dipicu hujan dengan intensitas tinggi dan luapan beberapa anak sungai serta tidak berfungsinya saluran drainase di beberapa titik sehingga terjadi banjir pada hari Senin, 07 Agustus 2023, pkl. 07:00 WIT;;;;0;317;0
450;3313 102 2023 08 06 1;3313;06/08/23;TANAH LONGSOR;Kec. Pinang Merah Dukuh Ngargoyoso Dukuh;KARANGANYAR;JAWA TENGAH;Dokumentasi;Area sawah terasering dengan kontur tanah yang labil dan basah;;;;1;;0
451;1108 107 2023 08 06 1;1108;06/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Darul Imarah Ds. Pasir Pinang Kec. Seulimun Gampong Rabo;ACEH BESAR;ACEH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
452;3310 107 2023 08 06 1;3310;06/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Klaten Tengah Ds. Gumulan Kec. Pedan Ds. Troketan Kec. Karangdowo Ds. Tumpukan Kec. Ceper Ds. Dlimas Kec. Delanggu Ds. Jetis;KLATEN;JAWA TENGAH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
453;7210 108 2023 08 06 1;7210;06/08/23;GEMPA BUMI;Kec. Nokilalaki  Desa Kamarora Desa Sopu Kec. Palolo Desa Lembantongoa  47 km Timur Laut SIGI-SULTENG 53 km Tenggara PALU-SULTENG 59 km Barat Laut POSO-SULTENG 97 km Tenggara DONGGALA-SULTENG 1592 km TimurLaut JAKARTA-Indonesia;SIGI;SULAWESI TENGAH;Dokumentasi;Kekuatan          : 5.3 SR Tanggal           : 06-Aug-2023 Waktu Gempa       : 08:44:32 WIB Lintang           : 1.19 LS Bujur             : 120.26 BT Kedalaman         : 16 Km;;;1;295;;6
454;3301 107 2023 08 05 1;3301;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Karangpucung Ds. Tayem Timur;CILACAP;JAWA TENGAH;Dokumentasi;Pada hari Sabtu, 5 Agustus 2023 sekitar jam 11.30 WIB seorang warga membakar lahan milik sendiri yang berbatasan dengan lahan Perhutani, dimana api tidak dapat dikendalikan sehingga merembet ke lahan Perhutani yang sudah ditebang. Sehingga terjadi kebakaran lahan Perhutani petak 67 J di Desa Tayem Timur, Kecamatan Karangpucung.;;;;0;;0
455;1103 107 2023 08 05 1;1103;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bakongan  Gampong Ujong Padang;ACEH SELATAN;ACEH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
456;1108 107 2023 08 05 1;1108;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Baitussalam Ds. Khaju Indah Kec. Kuto Baro  Gampong Cucum;ACEH BESAR;ACEH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
457;1221 107 2023 08 05 1;1221;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Huristak Ds. Pasir Pinang;PADANG LAWAS;SUMATERA UTARA;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
458;1218 105 2023 08 05 1;1218;05/08/23;PUTING BELIUNG;Kec. Sei Rampah Ds. Firdaus Kec. Sunggal Ds. Sumber Melati Diski;SERDANG BEDAGAI;SUMATERA UTARA;Dokumentasi;Dipicu hujan disertai angin kencang yang terjadi di wilayah Kab. Serdang  dengan Pihak Desa FirdBedagai;;;;0;;0
459;1275 105 2023 08 05 1;1275;05/08/23;PUTING BELIUNG;Kec. Medan Sunggal Kel. Lalang Kec. Medan Helvina Kel. Cinta Damai;KOTA MEDAN;SUMATERA UTARA;Dokumentasi;Dipicu hujan disertai angin kencang yang terjadi di wilayah Kota Medan;;;;0;;0
460;1212 105 2023 08 05 1;1212;05/08/23;PUTING BELIUNG;Kec. Sunggal Ds. Sumber Melati Diski;DELI SERDANG;SUMATERA UTARA;Dokumentasi;Dipicu hujan deras disertai angin kencang yang menyebabkan 2 (dua) unit rumah di Desa Sumber Melati Diski Dusun II mengalami kerusakan di terpa angin kencang;;;;0;;0
461;1207 107 2023 08 05 1;1207;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bilah Hilir Ds. Negeri lama seberang;LABUHAN BATU;SUMATERA UTARA;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
462;1507 107 2023 08 05 1;1507;05/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pinang Merah Ds. Muntialo Betara Ds. Sei Baung               Pengabuan;TANJUNG JABUNG BARAT;JAMBI;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
463;6409 107 2023 08 04 1;6409;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Penajam Ds. Giripurwa;PENAJAM PASER UTARA;KALIMANTAN TIMUR;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
464;1108 107 2023 08 04 1;1108;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Ingin Jaya Gampong Bada Gampong Teubang Phui;ACEH BESAR;ACEH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
465;1904 107 2023 08 04 1;1904;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Koba Ds. Tanjung Langka;BANGKA TENGAH;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Masih dalam penyelidikan;;;0;0;;0
466;1401 108 2023 08 04 1;1401;04/08/23;GEMPA BUMI;Kec. Singingi Ds. Kebun Lado;KUANTAN SINGINGI;RIAU;Dokumentasi;Terjadi getaran di sekitar daerah Kuantan Singingi di Desa Kebun Lado Kec. Singingi Kab. Kuantan Singingi, Terdeteksi Gempa Bumi berskala 4.3 SR di Kedalaman 10 KM, mengakibatkan getaran yg cukup kuat di wilayah tersebut, Durasi gempa berkisar 10-15 detik, Belum ada laporan dari kejadian terscukup Tebut.;;;;10;;2
467;1906 107 2023 08 04 1;1906;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Manggar Ds. Bukit Semak Ds. Lalang Ds. Padang Kec. Damar Ds. Sukamandi;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
468;1904 107 2023 08 04 1;1904;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Koba Ds. Kurau Timur;BANGKA TENGAH;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
469;6311 107 2023 08 04 1;6311;04/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Batumandi Ds. Teluk Mesjid;BALANGAN;KALIMANTAN SELATAN;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
470;6310 107 2023 08 03 1;6310;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Kusan Tengah Ds. Sardangan;TANAH BUMBU;KALIMANTAN SELATAN;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
471;6405 107 2023 08 03 1;6405;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Teluk Bayur Ds. Labanan Makmur;BERAU;KALIMANTAN TIMUR;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
472;6471 107 2023 08 03 1;6471;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Balikpapan Utara Ds. Graha Indah;KOTA BALIKPAPAN;KALIMANTAN TIMUR;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
473;6303 107 2023 08 03 1;6303;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Cintapuri Darusalam Kec. Karang Intan;BANJAR;KALIMANTAN SELATAN;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
474;6204 107 2023 08 03 1;6204;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Dusun Selatan Ds. Mangaris Ds. Pamait;BARITO SELATAN;KALIMANTAN TENGAH;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
475;6502 107 2023 08 03 1;6502;03/08/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Tg. selor Ds. jelara;BULUNGAN;KALIMANTAN UTARA;Dokumentasi;Dalam penyelidikan pihak berwajib;;;;0;;0
476;3201 105 2023 08 03 1;3201;03/08/23;PUTING BELIUNG;Kec. Ciawi Ds. Citapen;BOGOR;JAWA BARAT;Dokumentasi;Disebabkan Angin kencang serta konstruksi bangunan sudah mulai rapuh sehingga mengakibatkan 1 unit rumah mengalami kerusakan;;;;1;;0
